,task,correctness,order,Clean,Zero,Median,Reset
0,T1098,correct,rel_irr,8.59375,,8.09375,7.9609375
1,T1098,correct,irr_rel,8.3359375,,7.98828125,8.5078125
2,T1098,incorrect,rel_irr,8.59375,,8.09375,7.9609375
3,T1098,incorrect,irr_rel,8.3359375,,7.98828125,8.5078125
4,T1110,correct,rel_irr,8.2578125,,7.16015625,8.390625
5,T1110,correct,irr_rel,7.9765625,,7.4453125,8.671875
6,T1110,incorrect,rel_irr,8.2578125,,7.16015625,8.390625
7,T1110,incorrect,irr_rel,7.9765625,,7.4453125,8.671875
8,T1059.001,correct,rel_irr,9.0625,,7.953125,9.390625
9,T1059.001,correct,irr_rel,9.59375,,8.3828125,9.6171875
10,T1059.001,incorrect,rel_irr,9.0625,,7.953125,9.390625
11,T1059.001,incorrect,irr_rel,9.59375,,8.3828125,9.6171875
12,T1059.003,correct,rel_irr,9.8515625,,8.734375,9.4921875
13,T1059.003,correct,irr_rel,9.9296875,,8.8671875,9.5859375
14,T1059.003,incorrect,rel_irr,9.8515625,,8.734375,9.4921875
15,T1059.003,incorrect,irr_rel,9.9296875,,8.8671875,9.5859375
16,T1059.005,correct,rel_irr,10.3828125,,7.2890625,9.5703125
17,T1059.005,correct,irr_rel,10.65625,,7.203125,10.0
18,T1059.005,incorrect,rel_irr,10.3828125,,7.2890625,9.5703125
19,T1059.005,incorrect,irr_rel,10.65625,,7.203125,10.0
20,T1554,correct,rel_irr,9.1875,,9.296875,9.3984375
21,T1554,correct,irr_rel,8.9921875,,8.3046875,9.6484375
22,T1554,incorrect,rel_irr,9.1875,,9.296875,9.3984375
23,T1554,incorrect,irr_rel,8.9921875,,8.3046875,9.6484375
24,T1136,correct,rel_irr,8.6640625,,7.84375,8.875
25,T1136,correct,irr_rel,8.796875,,8.484375,8.8359375
26,T1136,incorrect,rel_irr,8.6640625,,7.84375,8.875
27,T1136,incorrect,irr_rel,8.796875,,8.484375,8.8359375
28,T1136.002,correct,rel_irr,8.046875,,8.34375,9.0390625
29,T1136.002,correct,irr_rel,8.90625,,7.62109375,8.7109375
30,T1136.002,incorrect,rel_irr,8.046875,,8.34375,9.0390625
31,T1136.002,incorrect,irr_rel,8.90625,,7.62109375,8.7109375
32,T1543.003,correct,rel_irr,9.4375,,8.6484375,9.1875
33,T1543.003,correct,irr_rel,9.796875,,9.0546875,9.6015625
34,T1543.003,incorrect,rel_irr,9.4375,,8.6484375,9.1875
35,T1543.003,incorrect,irr_rel,9.796875,,9.0546875,9.6015625
36,T1562.002,correct,rel_irr,9.09375,,8.9921875,8.4140625
37,T1562.002,correct,irr_rel,8.9296875,,8.3984375,8.7265625
38,T1562.002,incorrect,rel_irr,9.09375,,8.9921875,8.4140625
39,T1562.002,incorrect,irr_rel,8.9296875,,8.3984375,8.7265625
40,T1570,correct,rel_irr,8.4140625,,9.9453125,8.9140625
41,T1570,correct,irr_rel,8.1484375,,10.21875,9.796875
42,T1570,incorrect,rel_irr,8.4140625,,9.9453125,8.9140625
43,T1570,incorrect,irr_rel,8.1484375,,10.21875,9.796875
44,T1036.005,correct,rel_irr,7.7578125,,5.4375,9.65625
45,T1036.005,correct,irr_rel,9.28125,,6.875,10.03125
46,T1036.005,incorrect,rel_irr,7.7578125,,5.4375,9.65625
47,T1036.005,incorrect,irr_rel,9.28125,,6.875,10.03125
48,T1036.008,correct,rel_irr,9.0078125,,6.66015625,8.3984375
49,T1036.008,correct,irr_rel,8.921875,,6.3828125,8.8984375
50,T1036.008,incorrect,rel_irr,9.0078125,,6.66015625,8.3984375
51,T1036.008,incorrect,irr_rel,8.921875,,6.3828125,8.8984375
52,T1027,correct,rel_irr,9.1796875,,8.78125,9.140625
53,T1027,correct,irr_rel,9.703125,,9.0625,9.34375
54,T1027,incorrect,rel_irr,9.1796875,,8.78125,9.140625
55,T1027,incorrect,irr_rel,9.703125,,9.0625,9.34375
56,T1027.002,correct,rel_irr,8.5625,,8.25,8.2578125
57,T1027.002,correct,irr_rel,8.109375,,7.98046875,7.921875
58,T1027.002,incorrect,rel_irr,8.5625,,8.25,8.2578125
59,T1027.002,incorrect,irr_rel,8.109375,,7.98046875,7.921875
60,T1003.001,correct,rel_irr,10.328125,,8.046875,9.484375
61,T1003.001,correct,irr_rel,10.515625,,8.625,9.890625
62,T1003.001,incorrect,rel_irr,10.328125,,8.046875,9.484375
63,T1003.001,incorrect,irr_rel,10.515625,,8.625,9.890625
64,T1021.002,correct,rel_irr,9.8984375,,9.0625,9.734375
65,T1021.002,correct,irr_rel,9.4140625,,9.3203125,9.640625
66,T1021.002,incorrect,rel_irr,9.8984375,,9.0625,9.734375
67,T1021.002,incorrect,irr_rel,9.4140625,,9.3203125,9.640625
68,T1018,correct,rel_irr,8.765625,,9.609375,9.453125
69,T1018,correct,irr_rel,8.8671875,,9.7109375,9.78125
70,T1018,incorrect,rel_irr,8.765625,,9.609375,9.453125
71,T1018,incorrect,irr_rel,8.8671875,,9.7109375,9.78125
72,T1505.001,correct,rel_irr,8.5234375,,8.4375,8.671875
73,T1505.001,correct,irr_rel,8.828125,,8.84375,8.6015625
74,T1505.001,incorrect,rel_irr,8.5234375,,8.4375,8.671875
75,T1505.001,incorrect,irr_rel,8.828125,,8.84375,8.6015625
76,T1047,correct,rel_irr,10.5546875,,7.6640625,8.5234375
77,T1047,correct,irr_rel,10.5625,,8.0703125,8.90625
78,T1047,incorrect,rel_irr,10.5546875,,7.6640625,8.5234375
79,T1047,incorrect,irr_rel,10.5625,,8.0703125,8.90625
80,T0807,correct,rel_irr,9.5078125,,8.7890625,9.40625
81,T0807,correct,irr_rel,9.9609375,,9.125,9.6171875
82,T0807,incorrect,rel_irr,9.5078125,,8.7890625,9.40625
83,T0807,incorrect,irr_rel,9.9609375,,9.125,9.6171875
84,T0867,correct,rel_irr,8.4296875,,8.421875,8.2734375
85,T0867,correct,irr_rel,8.6171875,,8.359375,9.015625
86,T0867,incorrect,rel_irr,8.4296875,,8.421875,8.2734375
87,T0867,incorrect,irr_rel,8.6171875,,8.359375,9.015625
88,T0849,correct,rel_irr,7.84765625,,5.98828125,8.59375
89,T0849,correct,irr_rel,7.82421875,,7.58203125,8.5234375
90,T0849,incorrect,rel_irr,7.84765625,,5.98828125,8.59375
91,T0849,incorrect,irr_rel,7.82421875,,7.58203125,8.5234375
92,T0886,correct,rel_irr,8.5703125,,7.984375,8.8359375
93,T0886,correct,irr_rel,9.0859375,,8.2421875,9.1640625
94,T0886,incorrect,rel_irr,8.5703125,,7.984375,8.8359375
95,T0886,incorrect,irr_rel,9.0859375,,8.2421875,9.1640625
96,T0853,correct,rel_irr,9.1328125,,6.97265625,9.796875
97,T0853,correct,irr_rel,9.421875,,3.955078125,9.890625
98,T0853,incorrect,rel_irr,9.1328125,,6.97265625,9.796875
99,T0853,incorrect,irr_rel,9.421875,,3.955078125,9.890625
100,T0859,correct,rel_irr,9.796875,,3.29296875,10.0390625
101,T0859,correct,irr_rel,9.7265625,,7.05859375,9.859375
102,T0859,incorrect,rel_irr,9.796875,,3.29296875,10.0390625
103,T0859,incorrect,irr_rel,9.7265625,,7.05859375,9.859375
104,T1059.003,correct,rel_irr,10.3515625,,8.2734375,9.859375
105,T1059.003,correct,irr_rel,10.53125,,8.859375,10.1015625
106,T1059.003,incorrect,rel_irr,10.3515625,,8.2734375,9.859375
107,T1059.003,incorrect,irr_rel,10.53125,,8.859375,10.1015625
108,T1059.005,correct,rel_irr,10.5,,8.671875,9.9296875
109,T1059.005,correct,irr_rel,10.8515625,,9.0,10.3671875
110,T1059.005,incorrect,rel_irr,10.5,,8.671875,9.9296875
111,T1059.005,incorrect,irr_rel,10.8515625,,9.0,10.3671875
112,T1059.007,correct,rel_irr,9.7421875,,9.7578125,10.1484375
113,T1059.007,correct,irr_rel,9.8046875,,9.7265625,9.9609375
114,T1059.007,incorrect,rel_irr,9.7421875,,9.7578125,10.1484375
115,T1059.007,incorrect,irr_rel,9.8046875,,9.7265625,9.9609375
116,T1486,correct,rel_irr,8.6796875,,7.95703125,8.5078125
117,T1486,correct,irr_rel,8.640625,,7.6640625,8.6328125
118,T1486,incorrect,rel_irr,8.6796875,,7.95703125,8.5078125
119,T1486,incorrect,irr_rel,8.640625,,7.6640625,8.6328125
120,T1005,correct,rel_irr,10.296875,,8.5625,10.59375
121,T1005,correct,irr_rel,10.2578125,,9.25,10.1875
122,T1005,incorrect,rel_irr,10.296875,,8.5625,10.59375
123,T1005,incorrect,irr_rel,10.2578125,,9.25,10.1875
124,T1039,correct,rel_irr,10.5390625,,8.546875,9.78125
125,T1039,correct,irr_rel,9.59375,,8.9453125,8.9140625
126,T1039,incorrect,rel_irr,10.5390625,,8.546875,9.78125
127,T1039,incorrect,irr_rel,9.59375,,8.9453125,8.9140625
128,T1074.001,correct,rel_irr,8.359375,,8.7421875,9.5
129,T1074.001,correct,irr_rel,8.71875,,8.984375,9.625
130,T1074.001,incorrect,rel_irr,8.359375,,8.7421875,9.5
131,T1074.001,incorrect,irr_rel,8.71875,,8.984375,9.625
132,T1030,correct,rel_irr,10.875,,9.3203125,10.21875
133,T1030,correct,irr_rel,10.7890625,,6.515625,10.390625
134,T1030,incorrect,rel_irr,10.875,,9.3203125,10.21875
135,T1030,incorrect,irr_rel,10.7890625,,6.515625,10.390625
136,T1482,correct,rel_irr,9.65625,,5.203125,9.2421875
137,T1482,correct,irr_rel,9.921875,,6.6171875,8.96875
138,T1482,incorrect,rel_irr,9.65625,,5.203125,9.2421875
139,T1482,incorrect,irr_rel,9.921875,,6.6171875,8.96875
140,T1567.002,correct,rel_irr,10.34375,,9.8828125,10.2890625
141,T1567.002,correct,irr_rel,10.265625,,10.109375,10.09375
142,T1567.002,incorrect,rel_irr,10.34375,,9.8828125,10.2890625
143,T1567.002,incorrect,irr_rel,10.265625,,10.109375,10.09375
144,T1083,correct,rel_irr,9.03125,,8.40625,8.796875
145,T1083,correct,irr_rel,9.7109375,,8.578125,9.359375
146,T1083,incorrect,rel_irr,9.03125,,8.40625,8.796875
147,T1083,incorrect,irr_rel,9.7109375,,8.578125,9.359375
148,T1105,correct,rel_irr,8.0859375,,8.0625,7.95703125
149,T1105,correct,irr_rel,8.4765625,,8.296875,9.3984375
150,T1105,incorrect,rel_irr,8.0859375,,8.0625,7.95703125
151,T1105,incorrect,irr_rel,8.4765625,,8.296875,9.3984375
152,T1570,correct,rel_irr,8.34375,,9.1953125,8.84375
153,T1570,correct,irr_rel,8.109375,,9.3984375,9.9375
154,T1570,incorrect,rel_irr,8.34375,,9.1953125,8.84375
155,T1570,incorrect,irr_rel,8.109375,,9.3984375,9.9375
156,T1036,correct,rel_irr,7.35546875,,7.7890625,7.5859375
157,T1036,correct,irr_rel,7.5,,8.1875,8.0859375
158,T1036,incorrect,rel_irr,7.35546875,,7.7890625,7.5859375
159,T1036,incorrect,irr_rel,7.5,,8.1875,8.0859375
160,T1135,correct,rel_irr,10.3125,,9.0625,10.0625
161,T1135,correct,irr_rel,10.2265625,,9.7265625,10.3046875
162,T1135,incorrect,rel_irr,10.3125,,9.0625,10.0625
163,T1135,incorrect,irr_rel,10.2265625,,9.7265625,10.3046875
164,T1027,correct,rel_irr,9.3515625,,8.359375,9.34375
165,T1027,correct,irr_rel,9.9609375,,8.890625,9.890625
166,T1027,incorrect,rel_irr,9.3515625,,8.359375,9.34375
167,T1027,incorrect,irr_rel,9.9609375,,8.890625,9.890625
168,T1588.001,correct,rel_irr,9.9765625,,8.4296875,9.390625
169,T1588.001,correct,irr_rel,9.59375,,8.578125,9.4296875
170,T1588.001,incorrect,rel_irr,9.9765625,,8.4296875,9.390625
171,T1588.001,incorrect,irr_rel,9.59375,,8.578125,9.4296875
172,T1588.002,correct,rel_irr,9.421875,,6.92578125,9.03125
173,T1588.002,correct,irr_rel,9.28125,,6.3515625,9.1796875
174,T1588.002,incorrect,rel_irr,9.421875,,6.92578125,9.03125
175,T1588.002,incorrect,irr_rel,9.28125,,6.3515625,9.1796875
176,T1069.001,correct,rel_irr,9.15625,,8.578125,8.8515625
177,T1069.001,correct,irr_rel,9.28125,,8.5,8.875
178,T1069.001,incorrect,rel_irr,9.15625,,8.578125,8.8515625
179,T1069.001,incorrect,irr_rel,9.28125,,8.5,8.875
180,T1069.002,correct,rel_irr,9.078125,,9.0546875,9.1484375
181,T1069.002,correct,irr_rel,9.296875,,8.796875,9.2109375
182,T1069.002,incorrect,rel_irr,9.078125,,9.0546875,9.1484375
183,T1069.002,incorrect,irr_rel,9.296875,,8.796875,9.2109375
184,T1566.001,correct,rel_irr,8.4375,,6.78125,8.2421875
185,T1566.001,correct,irr_rel,8.5625,,6.90234375,8.375
186,T1566.001,incorrect,rel_irr,8.4375,,6.78125,8.2421875
187,T1566.001,incorrect,irr_rel,8.5625,,6.90234375,8.375
188,T1057,correct,rel_irr,9.25,,8.578125,9.125
189,T1057,correct,irr_rel,8.7734375,,9.015625,9.1171875
190,T1057,incorrect,rel_irr,9.25,,8.578125,9.125
191,T1057,incorrect,irr_rel,8.7734375,,9.015625,9.1171875
192,T1055.001,correct,rel_irr,8.3671875,,9.0859375,9.3203125
193,T1055.001,correct,irr_rel,9.0546875,,8.2734375,8.46875
194,T1055.001,incorrect,rel_irr,8.3671875,,9.0859375,9.3203125
195,T1055.001,incorrect,irr_rel,9.0546875,,8.2734375,8.46875
196,T1219,correct,rel_irr,9.0546875,,8.2734375,9.90625
197,T1219,correct,irr_rel,9.3046875,,8.1953125,9.765625
198,T1219,incorrect,rel_irr,9.0546875,,8.2734375,9.90625
199,T1219,incorrect,irr_rel,9.3046875,,8.1953125,9.765625
200,T1021.001,correct,rel_irr,10.078125,,8.1015625,9.5
201,T1021.001,correct,irr_rel,10.0625,,8.265625,9.5546875
202,T1021.001,incorrect,rel_irr,10.078125,,8.1015625,9.5
203,T1021.001,incorrect,irr_rel,10.0625,,8.265625,9.5546875
204,T1018,correct,rel_irr,9.75,,9.4765625,9.828125
205,T1018,correct,irr_rel,9.78125,,9.6875,10.2734375
206,T1018,incorrect,rel_irr,9.75,,9.4765625,9.828125
207,T1018,incorrect,irr_rel,9.78125,,9.6875,10.2734375
208,T1553.002,correct,rel_irr,9.2109375,,8.1875,8.625
209,T1553.002,correct,irr_rel,9.7265625,,8.84375,8.84375
210,T1553.002,incorrect,rel_irr,9.2109375,,8.1875,8.625
211,T1553.002,incorrect,irr_rel,9.7265625,,8.84375,8.84375
212,T1218.005,correct,rel_irr,10.546875,,9.8125,10.4375
213,T1218.005,correct,irr_rel,10.4296875,,9.890625,10.1953125
214,T1218.005,incorrect,rel_irr,10.546875,,9.8125,10.4375
215,T1218.005,incorrect,irr_rel,10.4296875,,9.890625,10.1953125
216,T1218.010,correct,rel_irr,9.71875,,7.55078125,9.234375
217,T1218.010,correct,irr_rel,9.5234375,,8.5859375,9.359375
218,T1218.010,incorrect,rel_irr,9.71875,,7.55078125,9.234375
219,T1218.010,incorrect,irr_rel,9.5234375,,8.5859375,9.359375
220,T1218.011,correct,rel_irr,9.015625,,7.296875,7.83203125
221,T1218.011,correct,irr_rel,8.9765625,,6.9609375,7.60546875
222,T1218.011,incorrect,rel_irr,9.015625,,7.296875,7.83203125
223,T1218.011,incorrect,irr_rel,8.9765625,,6.9609375,7.60546875
224,T1016,correct,rel_irr,9.375,,8.2734375,9.3984375
225,T1016,correct,irr_rel,9.5859375,,9.234375,10.0390625
226,T1016,incorrect,rel_irr,9.375,,8.2734375,9.3984375
227,T1016,incorrect,irr_rel,9.5859375,,9.234375,10.0390625
228,T1124,correct,rel_irr,9.5703125,,9.1953125,9.3203125
229,T1124,correct,irr_rel,9.78125,,9.5546875,10.1875
230,T1124,incorrect,rel_irr,9.5703125,,9.1953125,9.3203125
231,T1124,incorrect,irr_rel,9.78125,,9.5546875,10.1875
232,T1204.002,correct,rel_irr,9.640625,,8.0078125,8.765625
233,T1204.002,correct,irr_rel,9.578125,,7.96875,8.7421875
234,T1204.002,incorrect,rel_irr,9.640625,,8.0078125,8.765625
235,T1204.002,incorrect,irr_rel,9.578125,,7.96875,8.7421875
236,T1047,correct,rel_irr,10.5390625,,6.20703125,8.578125
237,T1047,correct,irr_rel,10.3125,,6.5546875,8.8828125
238,T1047,incorrect,rel_irr,10.5390625,,6.20703125,8.578125
239,T1047,incorrect,irr_rel,10.3125,,6.5546875,8.8828125
240,T1583.001,correct,rel_irr,9.734375,,7.83984375,9.8828125
241,T1583.001,correct,irr_rel,9.921875,,7.7578125,9.9375
242,T1583.001,incorrect,rel_irr,9.734375,,7.83984375,9.8828125
243,T1583.001,incorrect,irr_rel,9.921875,,7.7578125,9.9375
244,T1071.001,correct,rel_irr,9.5703125,,8.59375,9.4296875
245,T1071.001,correct,irr_rel,10.0078125,,8.5625,9.875
246,T1071.001,incorrect,rel_irr,9.5703125,,8.59375,9.4296875
247,T1071.001,incorrect,irr_rel,10.0078125,,8.5625,9.875
248,T1059.001,correct,rel_irr,9.1875,,8.3828125,9.125
249,T1059.001,correct,irr_rel,9.84375,,8.53125,9.265625
250,T1059.001,incorrect,rel_irr,9.1875,,8.3828125,9.125
251,T1059.001,incorrect,irr_rel,9.84375,,8.53125,9.265625
252,T1584.001,correct,rel_irr,10.171875,,6.7578125,8.6953125
253,T1584.001,correct,irr_rel,10.6875,,7.32421875,9.25
254,T1584.001,incorrect,rel_irr,10.171875,,6.7578125,8.6953125
255,T1584.001,incorrect,irr_rel,10.6875,,7.32421875,9.25
256,T1140,correct,rel_irr,9.2265625,,8.6796875,8.953125
257,T1140,correct,irr_rel,9.5,,8.8203125,9.53125
258,T1140,incorrect,rel_irr,9.2265625,,8.6796875,8.953125
259,T1140,incorrect,irr_rel,9.5,,8.8203125,9.53125
260,T1573.002,correct,rel_irr,10.796875,,7.20703125,9.7890625
261,T1573.002,correct,irr_rel,10.6953125,,7.171875,9.078125
262,T1573.002,incorrect,rel_irr,10.796875,,7.20703125,9.7890625
263,T1573.002,incorrect,irr_rel,10.6953125,,7.171875,9.078125
264,T1105,correct,rel_irr,8.0859375,,7.828125,7.8984375
265,T1105,correct,irr_rel,8.4765625,,7.98046875,9.4375
266,T1105,incorrect,rel_irr,8.0859375,,7.828125,7.8984375
267,T1105,incorrect,irr_rel,8.4765625,,7.98046875,9.4375
268,T1095,correct,rel_irr,9.4296875,,6.6171875,8.3203125
269,T1095,correct,irr_rel,8.59375,,6.2890625,7.90234375
270,T1095,incorrect,rel_irr,9.4296875,,6.6171875,8.3203125
271,T1095,incorrect,irr_rel,8.59375,,6.2890625,7.90234375
272,T1027.009,correct,rel_irr,9.703125,,8.1796875,8.46875
273,T1027.009,correct,irr_rel,9.8203125,,8.28125,8.8125
274,T1027.009,incorrect,rel_irr,9.703125,,8.1796875,8.46875
275,T1027.009,incorrect,irr_rel,9.8203125,,8.28125,8.8125
276,T1027.010,correct,rel_irr,9.1875,,6.65234375,9.09375
277,T1027.010,correct,irr_rel,8.9296875,,7.828125,8.7734375
278,T1027.010,incorrect,rel_irr,9.1875,,6.65234375,9.09375
279,T1027.010,incorrect,irr_rel,8.9296875,,7.828125,8.7734375
280,T1588.002,correct,rel_irr,9.40625,,7.03515625,9.203125
281,T1588.002,correct,irr_rel,9.0859375,,6.984375,9.4296875
282,T1588.002,incorrect,rel_irr,9.40625,,7.03515625,9.203125
283,T1588.002,incorrect,irr_rel,9.0859375,,6.984375,9.4296875
284,T1566.002,correct,rel_irr,9.5234375,,8.125,8.625
285,T1566.002,correct,irr_rel,9.25,,8.0390625,9.234375
286,T1566.002,incorrect,rel_irr,9.5234375,,8.125,8.625
287,T1566.002,incorrect,irr_rel,9.25,,8.0390625,9.234375
288,T1608.001,correct,rel_irr,8.828125,,8.28125,9.0
289,T1608.001,correct,irr_rel,9.3359375,,7.62890625,8.65625
290,T1608.001,incorrect,rel_irr,8.828125,,8.28125,9.0
291,T1608.001,incorrect,irr_rel,9.3359375,,7.62890625,8.65625
292,T1218.011,correct,rel_irr,8.6953125,,7.11328125,8.0625
293,T1218.011,correct,irr_rel,8.6484375,,7.703125,7.76171875
294,T1218.011,incorrect,rel_irr,8.6953125,,7.11328125,8.0625
295,T1218.011,incorrect,irr_rel,8.6484375,,7.703125,7.76171875
296,T1204.001,correct,rel_irr,9.015625,,7.71484375,8.4453125
297,T1204.001,correct,irr_rel,8.765625,,7.38671875,9.2421875
298,T1204.001,incorrect,rel_irr,9.015625,,7.71484375,8.4453125
299,T1204.001,incorrect,irr_rel,8.765625,,7.38671875,9.2421875
300,T1583.001,correct,rel_irr,9.8203125,,8.7734375,10.3125
301,T1583.001,correct,irr_rel,10.28125,,8.78125,10.15625
302,T1583.001,incorrect,rel_irr,9.8203125,,8.7734375,10.3125
303,T1583.001,incorrect,irr_rel,10.28125,,8.78125,10.15625
304,T1584.001,correct,rel_irr,9.4921875,,7.2265625,8.5
305,T1584.001,correct,irr_rel,10.203125,,7.41015625,8.9921875
306,T1584.001,incorrect,rel_irr,9.4921875,,7.2265625,8.5
307,T1584.001,incorrect,irr_rel,10.203125,,7.41015625,8.9921875
308,T1587.001,correct,rel_irr,10.15625,,7.49609375,9.171875
309,T1587.001,correct,irr_rel,9.59375,,7.60546875,8.828125
310,T1587.001,incorrect,rel_irr,10.15625,,7.49609375,9.171875
311,T1587.001,incorrect,irr_rel,9.59375,,7.60546875,8.828125
312,T1189,correct,rel_irr,8.09375,,8.765625,8.6015625
313,T1189,correct,irr_rel,8.53125,,9.0390625,9.3046875
314,T1189,incorrect,rel_irr,8.09375,,8.765625,8.6015625
315,T1189,incorrect,irr_rel,8.53125,,9.0390625,9.3046875
316,T1105,correct,rel_irr,8.0,,7.40625,7.83984375
317,T1105,correct,irr_rel,8.203125,,7.69921875,9.390625
318,T1105,incorrect,rel_irr,8.0,,7.40625,7.83984375
319,T1105,incorrect,irr_rel,8.203125,,7.69921875,9.390625
320,T1588.002,correct,rel_irr,9.28125,,5.203125,8.859375
321,T1588.002,correct,irr_rel,9.203125,,4.734375,9.3359375
322,T1588.002,incorrect,rel_irr,9.28125,,5.203125,8.859375
323,T1588.002,incorrect,irr_rel,9.203125,,4.734375,9.3359375
324,T1608.001,correct,rel_irr,9.1640625,,7.34375,9.5546875
325,T1608.001,correct,irr_rel,9.375,,7.74609375,8.890625
326,T1608.001,incorrect,rel_irr,9.1640625,,7.34375,9.5546875
327,T1608.001,incorrect,irr_rel,9.375,,7.74609375,8.890625
328,T1608.002,correct,rel_irr,9.046875,,6.01953125,9.5078125
329,T1608.002,correct,irr_rel,9.234375,,6.30859375,9.2421875
330,T1608.002,incorrect,rel_irr,9.046875,,6.01953125,9.5078125
331,T1608.002,incorrect,irr_rel,9.234375,,6.30859375,9.2421875
332,T1608.004,correct,rel_irr,9.3828125,,6.61328125,9.546875
333,T1608.004,correct,irr_rel,9.9765625,,4.71875,10.3046875
334,T1608.004,incorrect,rel_irr,9.3828125,,6.61328125,9.546875
335,T1608.004,incorrect,irr_rel,9.9765625,,4.71875,10.3046875
336,T1583.001,correct,rel_irr,9.796875,,8.1640625,10.1875
337,T1583.001,correct,irr_rel,9.9296875,,8.265625,10.0703125
338,T1583.001,incorrect,rel_irr,9.796875,,8.1640625,10.1875
339,T1583.001,incorrect,irr_rel,9.9296875,,8.265625,10.0703125
340,T1059.005,correct,rel_irr,10.40625,,8.6484375,9.78125
341,T1059.005,correct,irr_rel,10.6328125,,8.9921875,10.1640625
342,T1059.005,incorrect,rel_irr,10.40625,,8.6484375,9.78125
343,T1059.005,incorrect,irr_rel,10.6328125,,8.9921875,10.1640625
344,T1587.003,correct,rel_irr,11.1875,,6.6640625,9.75
345,T1587.003,correct,irr_rel,10.9140625,,6.28125,8.84375
346,T1587.003,incorrect,rel_irr,11.1875,,6.6640625,9.75
347,T1587.003,incorrect,irr_rel,10.9140625,,6.28125,8.84375
348,T1566.001,correct,rel_irr,8.4296875,,6.76171875,7.78125
349,T1566.001,correct,irr_rel,8.4765625,,6.5859375,7.96484375
350,T1566.001,incorrect,rel_irr,8.4296875,,6.76171875,7.78125
351,T1566.001,incorrect,irr_rel,8.4765625,,6.5859375,7.96484375
352,T1566.002,correct,rel_irr,9.3046875,,7.64453125,8.359375
353,T1566.002,correct,irr_rel,8.8984375,,7.54296875,8.8359375
354,T1566.002,incorrect,rel_irr,9.3046875,,7.64453125,8.359375
355,T1566.002,incorrect,irr_rel,8.8984375,,7.54296875,8.8359375
356,T1608.001,correct,rel_irr,9.28125,,6.1953125,9.515625
357,T1608.001,correct,irr_rel,9.703125,,5.9453125,8.765625
358,T1608.001,incorrect,rel_irr,9.28125,,6.1953125,9.515625
359,T1608.001,incorrect,irr_rel,9.703125,,5.9453125,8.765625
360,T1204.001,correct,rel_irr,8.6484375,,7.8046875,8.1875
361,T1204.001,correct,irr_rel,8.2578125,,6.8125,8.71875
362,T1204.001,incorrect,rel_irr,8.6484375,,7.8046875,8.1875
363,T1204.001,incorrect,irr_rel,8.2578125,,6.8125,8.71875
364,T1204.002,correct,rel_irr,9.7578125,,7.08203125,8.6640625
365,T1204.002,correct,irr_rel,9.6328125,,7.1953125,8.8671875
366,T1204.002,incorrect,rel_irr,9.7578125,,7.08203125,8.6640625
367,T1204.002,incorrect,irr_rel,9.6328125,,7.1953125,8.8671875
